id_persona,edad,ciudad,país,lenguajes_dominio,frameworks_dominio,certificaciones,años_experiencia,nivel_educativo,área_trabajo_actual,salario_actual_usd,source
PER-90001,23.0,San Francisco,USA,Python|Swift|Scala,React,AWS CCP,1.0,Autodidacta,Backend,94479.0,profiles
PER-90002,30.0,Madrid,España,TypeScript|Python,Flask|FastAPI,Unknown,3.0,Posgrado,IA,38159.0,profiles
PER-90003,36.0,Valparaíso,Chile,Scala,Spark,Azure Fundamentals,3.0,Posgrado,Cloud,38.569,profiles
PER-90004,18.0,SAN FRANCISCO,USA,Python|PHP|Go,Node.js|FastAPI,GCP ACE,5.0,Tecnólogo,Data Science,71658.0,profiles
PER-90005,27.0,CDMX,México,C#|JavaScript,Spark|Angular,GCP ACE,2.0,Autodidacta,BI/Analytics,18.612,profiles
PER-90006,22.0,Puebla,México,Java|R,.NET|Vue,AWS CCP,0.0,Pregrado,Backend,11325.0,profiles
PER-90007,26.0,Bogotá,Colombia,C#|PHP,Angular,AWS CCP,5.0,Autodidacta,Backend,14.884,profiles
PER-90008,31.0,Bogotá,Colombia,javascript|swift,Spring|FastAPI,Cisco CCNA,5.0,Técnico,Frontend,18182.0,profiles
PER-90009,27.0,Barranquilla,Colombia,Python|PHP|Swift,Laravel|Flask,Scrum Master|None,0.0,Autodidacta,Ciberseguridad,10187.0,profiles
PER-90010,31.0,Valparaíso,Chile,Scala|Java,React|Flask,AWS CCP,0.0,Tecnólogo,Data Science,15.137,profiles
PER-90011,35.0,Monterrey,México,Swift|C#,Vue,None|GCP ACE,0.0,Autodidacta,DevOps,15.759,profiles
PER-90012,27.0,Santiago,Chile,Java|PHP,Angular,GCP ACE|None,3.0,Pregrado,BI/Analytics,40271.0,profiles
PER-90013,32.0,Córdoba,Argentina,PHP,.NET,Azure Fundamentals|Cisco CCNA,1.0,Pregrado,Data Science,16715.0,profiles
PER-90014,21.0,Valparaíso,Chile,Python|R|Kotlin,Spring,AWS CCP|Cisco CCNA,0.0,Tecnólogo,Data Science,21.691,profiles
PER-90015,26.0,Puebla,México,PHP|Java,React|FastAPI,Cisco CCNA,1.0,Autodidacta,Backend,15888.0,profiles
PER-90016,26.0,Sevilla,España,JavaScript,Spark,Scrum Master,1.0,Tecnólogo,Cloud,61231.0,profiles
PER-90017,30.0,San Francisco,USA,R|Swift,Laravel|Django,GCP ACE,4.0,Pregrado,Frontend,116398.0,profiles
PER-90018,23.0,Buenos Aires,Argentina,R,Spring,AWS CCP,0.0,Técnico,Data Science,15242.0,profiles
PER-90019,31.0,Valparaíso,Chile,Go|TypeScript,FastAPI|Spark,GCP ACE,1.0,Tecnólogo,Frontend,21.216,profiles
