id_oferta,empresa,ciudad,país,cargo,lenguaje,framework,nivel_seniority,salario_anual_usd,modalidad,fecha_publicación,fecha_publicación_year,fecha_publicación_month,fecha_publicación_quarter,source
JOB-100001,Lambda Solutions,Cartagena,Colombia,ML Engineer,R,Spark,Junior,12.034,Remoto,2024-05-11,2024.0,5.0,2.0,jobs
JOB-100002,GreenBit,Valparaiso,Chile,DevOps Engineer,Java,React,Junior,18602.0,Remoto,,,,,jobs
JOB-100003,QuantumWare,Lima,Perú,Data Scientist,C#,Django,Senior,25324.0,Presencial,,,,,jobs
JOB-100004,IA Factory,???,México,Data Analyst,TypeScript,Laravel,Senior,26740.0,Remoto,,,,,jobs
JOB-100005,RocketSoft,Rosario,Argentina,MLOps Engineer,Swift,.NET,Mid,17633.0,Híbrido,,,,,jobs
JOB-100006,NeoTech,Córdoba,Argentina,Data Analyst,TypeScript,Angular,Senior,28008.0,Presencial,,,,,jobs
JOB-100007,IA Factory,Bucaramanga,Colombia,Fullstack Developer,JavaScript,FastAPI,Mid,11998.0,Presencial,,,,,jobs
JOB-100008,RocketSoft,Seattle,USA,BI Developer,Kotlin,Flask,Junior,55996.0,Remoto,,,,,jobs
JOB-100009,QuantumWare,San Francisco,USA,MLOps Engineer,PHP,Django,Mid,109.501,Remoto,,,,,jobs
JOB-100010,NeoTech,Puebla,México,DevOps Engineer,R,FastAPI,Junior,15697.0,Remoto,,,,,jobs
JOB-100011,Vertex AI,???,Colombia,MLOps Engineer,R,React,Junior,8699.0,Remoto,,,,,jobs
JOB-100012,IA Factory,Rosario,Argentina,Frontend Developer,Go,Django,Junior,15588.0,Remoto,,,,,jobs
JOB-100013,QuantumWare,Rosario,Argentina,DevOps Engineer,R,.NET,Junior,17.212,Remoto,,,,,jobs
JOB-100014,Lambda Solutions,Santiago,Chile,BI Developer,Python,Flask,Junior,19215.0,Presencial,,,,,jobs
JOB-100015,QuantumWare,Valparaíso,Chile,ML Engineer,Scala,Angular,Mid,24089.0,Híbrido,,,,,jobs
JOB-100016,CloudForge,Seattle,USA,ML Engineer,Java,Node.js,Senior,104007.0,Presencial,,,,,jobs
JOB-100017,Vertex AI,New York,USA,ML Engineer,Swift,Django,Senior,,Presencial,,,,,jobs
JOB-100018,NeoTech,Barcelona,España,Cybersecurity Analyst,Swift,Vue,Mid,38.706,Remoto,,,,,jobs
JOB-100019,RocketSoft,Cordoba,Argentina,Fullstack Developer,Python,Django,Mid,20823.0,Híbrido,,,,,jobs
JOB-100020,Vertex AI,Buenos Aires,Argentina,Data Analyst,C#,Flask,Junior,12336.0,Presencial,,,,,jobs
JOB-100021,Vertex AI,Rosario,Argentina,MLOps Engineer,Java,Spark,Junior,19.961,Remoto,,,,,jobs
JOB-100022,QuantumWare,Guadalajara,México,Cloud Architect,R,Flask,Senior,25783.0,Remoto,,,,,jobs
JOB-100023,DevOpsLab,San Francisco,USA,BI Developer,TypeScript,FastAPI,Senior,,Remoto,,,,,jobs
JOB-100024,DevOpsLab,San Francisco,USA,DevOps Engineer,C#,React,Junior,99131.0,Presencial,,,,,jobs
JOB-100025,DevOpsLab,Concepción,Chile,Data Scientist,PHP,FastAPI,Senior,34761.0,Presencial,,,,,jobs
JOB-100026,IA Factory,Puebla,México,BI Developer,Python,Spring,Junior,11266.0,Presencial,,,,,jobs
JOB-100027,RocketSoft,Monterrey,México,Data Analyst,Swift,Django,Junior,13524.0,Presencial,,,,,jobs
JOB-100028,CloudForge,CONCEPCIÓN,Chile,Cloud Architect,PHP,Laravel,Senior,22986.0,Híbrido,,,,,jobs
JOB-100029,NeoTech,Puebla,México,Data Engineer,Swift,Angular,Senior,29.166,Híbrido,,,,,jobs
JOB-100030,NeoTech,New York,USA,DevOps Engineer,Java,React,Senior,124.691,Presencial,,,,,jobs
