ID_Persona,Edad,Ciudad,País,Lenguajes_Dominio,Frameworks_Dominio,Certificaciones,Años_Experiencia,Nivel_Educativo,Área_Trabajo_Actual,Salario_Actual_USD
PER-90001,23,San Francisco,USA,Python|Swift|Scala,React,AWS CCP,1.0,Autodidacta,Backend,$94479
PER-90002,30,Madrid,España,TypeScript|Python,Flask|FastAPI,None,,Posgrado,IA,USD 38159
PER-90003,36,Valparaíso,Chile,Scala,Spark,Azure Fundamentals,3.0,Posgrado,Cloud,US$ 38.569
PER-90004,18,SAN FRANCISCO,USA,Python|PHP|Go,Node.js|FastAPI,GCP ACE,5.0,Tecnólogo,Data Science,"$71,658"
PER-90005,27,CDMX,México,C#|JavaScript,Spark|Angular,GCP ACE ,2.0,Autodidacta,BI/Analytics,US$ 18.612
PER-90006,22,Puebla,México,Java|R,.NET|Vue,AWS CCP,0.0,Pregrado,Backend,$11325
PER-90007,26,Bogotá,Colombia,C#|PHP,Angular,AWS CCP,5.0,Autodidacta,Backend,US$ 14.884
PER-90008,31,Bogotá,Colombia,javascript|swift,Spring|FastAPI,Cisco CCNA,5.0,Técnico,Frontend,"$18,182"
PER-90009,27,Barranquilla,Colombia,Python|PHP|Swift,Laravel|Flask,Scrum Master|None,0.0,Autodidacta,Ciberseguridad,USD 10187
PER-90010,31,Valparaíso,Chile,Scala|Java,React|Flask,AWS CCP,0.0,Tecnólogo,Data Science,US$ 15.137
PER-90011,35,Monterrey,México,Swift|C#,Vue,None|GCP ACE,0.0,Autodidacta,DevOps,US$ 15.759
PER-90012,27,Santiago,Chile,Java|PHP,Angular,GCP ACE|None,3.0,Pregrado,BI/Analytics,"$40,271"
PER-90013,32,Córdoba,Argentina,PHP,.NET,Azure Fundamentals|Cisco CCNA,1.0,Pregrado,Data Science,USD 16715
PER-90014,21,Valparaíso,Chile,Python|R|Kotlin,Spring,AWS CCP|Cisco CCNA,0.0,Tecnólogo,Data Science,US$ 21.691
PER-90015,26,Puebla,México,PHP|Java,React|FastAPI,Cisco CCNA,1.0,Autodidacta,Backend,15888
PER-90016,26,Sevilla,España,JavaScript,Spark,Scrum Master,1.0,Tecnólogo,Cloud,$61231
PER-90017,30,San Francisco,USA,R|Swift,Laravel|Django,GCP ACE,4.0,Pregrado,Frontend,$116398
PER-90018,23,Buenos Aires,Argentina,R,Spring,AWS CCP,0.0,Técnico,Data Science,"$15,242"
PER-90019,31,Valparaíso,Chile,Go|TypeScript,FastAPI|Spark,GCP ACE,1.0,Tecnólogo,Frontend,US$ 21.216
PER-90020,27,Valencia,España,JavaScript,.NET,AWS CCP,2.0,Técnico,Data Science,US$ 56.718
PER-90021,27,Austin,USA,Kotlin|TypeScript,React|Spring,None,1.0,Técnico,Data Science,USD 153996
PER-90022,28,Bogotá,Colombia,Python|Kotlin|TypeScript,Spring|Flask,AWS CCP ,4.0,Pregrado,BI/Analytics,US$ 17.958
PER-90023,33,CDMX,México,Scala|C#|Swift,Spring|Node.js,Azure Fundamentals ,2.0,Tecnólogo,Frontend,$17113
PER-90024,39,Lima,Perú,C#|Python,Node.js,Scrum Master,3.0,Pregrado,Data Science,"$19,743"
PER-90025,22,Cartagena,Colombia,C#,React|Spring,None,2.0,Autodidacta,DevOps,$16650
PER-90026,19,Santiago,Chile,TypeScript|PHP,Flask,Cisco CCNA,5.0,Técnico,Cloud,$16343
PER-90027,28,Cartagena,Colombia,Swift,FastAPI|Spark,Scrum Master,0.0,Pregrado,Cloud,$16532
PER-90028,25,Seattle,USA,PHP|Java,Spring|Vue,Azure Fundamentals,1.0,Posgrado,Ciberseguridad,US$ 109.488
PER-90029,27,Cali,Colombia,PHP,Spring,Scrum Master|Azure Fundamentals,6.0,Pregrado,BI/Analytics,$14234
PER-90030,26,Monterrey,México,php|python|r,Spark,None,4.0,Pregrado,Cloud,USD 12729
PER-90031,36,Valparaíso,Chile,JavaScript|Java,Angular|React,GCP ACE|None,0.0,Pregrado,Cloud,"$17,555"
PER-90032,23,Lima,Perú,TypeScript|R,Node.js|Flask,Scrum Master|AWS CCP,3.0,Posgrado,Cloud,USD 15978
PER-90033,21,Valencia,España,C#|Java,Angular|.NET,Azure Fundamentals,6.0,Pregrado,BI/Analytics,USD 46214
PER-90034,23,BUENOS AIRES,Argentina,JavaScript,Laravel,Azure Fundamentals|GCP ACE,5.0,Autodidacta,Cloud,USD 24773
PER-90035,31,Barcelona,España,r|swift,Flask|Angular,AWS CCP,5.0,Pregrado,IA,$49518
