ID_Oferta,Empresa,Ciudad,País,Cargo,Lenguaje,Framework,Nivel_Seniority,Salario_Anual_USD,Modalidad,Fecha_Publicación
JOB-100001,Lambda Solutions,Cartagena,Colombia,ML Engineer,R,Spark,Junior,US$ 12.034,Remoto,05/11/2024
JOB-100002,GreenBit,Valparaiso,Chile,DevOps Engineer,Java,React,Junior,USD 18602,Remoto,2023-04-03
JOB-100003,QuantumWare,Lima,Perú,Data Scientist,C#,Django,Senior,USD 25324,Presencial,2022/08/30
JOB-100004,IA Factory,???,México,Data Analyst,TypeScript,Laravel,Senior,26740,Remoto,2025-03-01
JOB-100005,RocketSoft,Rosario,Argentina,MLOps Engineer,Swift,.NET,Mid,17633,Híbrido,24/05/2023
JOB-100006,NeoTech,Córdoba,Argentina,Data Analyst,TypeScript,Angular,Senior,USD 28008,Presencial,2022-05-30
JOB-100007,IA Factory,Bucaramanga,Colombia,Fullstack Developer,JavaScript,FastAPI,Mid,11998,Presencial,2023/10/05
JOB-100008,RocketSoft,Seattle,USA,BI Developer,Kotlin,Flask,Junior,"$55,996",Remoto,27-09-2023
JOB-100009,QuantumWare,San Francisco,USA,MLOps Engineer,PHP,Django,Mid,US$ 109.501,Remoto,2023/03/23
JOB-100010,NeoTech,Puebla,México,DevOps Engineer,R,FastAPI,Junior,15697,Remoto,2024/05/31
JOB-100011,Vertex AI,???,Colombia,MLOps Engineer,R,React,Junior,$8699,Remoto,25-01-2022
JOB-100012,IA Factory,Rosario,Argentina,Frontend Developer,Go,Django,Junior,USD 15588,Remoto,2024-11-21
JOB-100013,QuantumWare,Rosario,Argentina,DevOps Engineer,R,.NET,Junior,US$ 17.212,Remoto,04-03-2023
JOB-100014,Lambda Solutions,Santiago,Chile,BI Developer,Python,Flask,Junior,$19215,Presencial,2022-02-22
JOB-100015,QuantumWare,Valparaíso,Chile,ML Engineer,Scala,Angular,Mid,USD 24089,Híbrido,12-08-2024
JOB-100016,CloudForge,Seattle,USA,ML Engineer,Java,Node.js,Senior,$104007,Presencial,17/02/2022
JOB-100017,Vertex AI,New York,USA,ML Engineer,Swift,Django,Senior,"$144,063",Presencial,22/01/2024
JOB-100018,NeoTech,Barcelona,España,Cybersecurity Analyst,Swift,Vue,Mid,US$ 38.706,Remoto,31/03/2024
JOB-100019,RocketSoft,Cordoba,Argentina,Fullstack Developer,Python,Django,Mid,$20823,Híbrido,2024/07/04
JOB-100020,Vertex AI,Buenos Aires,Argentina,Data Analyst,C#,Flask,Junior,USD 12336,Presencial,2025-06-03
JOB-100021,Vertex AI,Rosario,Argentina,MLOps Engineer,Java,Spark,Junior,US$ 19.961,Remoto,2024/06/07
JOB-100022,QuantumWare,Guadalajara,México,Cloud Architect,R,Flask,Senior,$25783,Remoto,24-04-2025
JOB-100023,DevOpsLab,San Francisco,USA,BI Developer,TypeScript,FastAPI,Senior,USD 125276,Remoto,2022-01-30
JOB-100024,DevOpsLab,San Francisco,USA,DevOps Engineer,C#,React,Junior,USD 99131,Presencial,2023/10/30
JOB-100025,DevOpsLab,Concepción,Chile,Data Scientist,PHP,FastAPI,Senior,$34761,Presencial,2022-11-07
JOB-100026,IA Factory,Puebla,México,BI Developer,Python,Spring,Junior,11266,Presencial,2022/05/07
