fuente_datos,fecha_procesamiento,id_registro,empresa_organizacion,cargo_area,ciudad,pais,tecnologia_principal,framework_herramienta,nivel_experiencia,salario_usd,modalidad_tipo,fecha_referencia,anio_referencia,edad,anos_experiencia,nivel_educativo,certificaciones,inversion_usd,participantes,duracion_meses,satisfaccion_promedio,tiene_salario,rango_salario,tiene_experiencia,nivel_experiencia_grupo,pais_normalizado,ciudad_normalizada,mes_procesamiento,ano_procesamiento,categoria_salario,grupo_edad,anio,mes
empleos_tech,2025-11-17 12:53:41.105338,JOB-100001,Lambda Solutions,ML Engineer,Cartagena,Colombia,R,Spark,Junior,12.034,Remoto,,,,,,,,,,,True,<50K,False,,Colombia,Cartagena,11,2025,<25K,25-30,2024,11
empleos_tech,2025-11-17 12:53:41.105338,JOB-100002,GreenBit,DevOps Engineer,Valparaiso,Chile,Java,React,Junior,18602.0,Remoto,,,,,,,,,,,True,<50K,False,,Chile,Valparaiso,11,2025,<25K,25-30,2024,11
empleos_tech,2025-11-17 12:53:41.105338,JOB-100003,QuantumWare,Data Scientist,Lima,Perú,C#,Django,Senior,25324.0,Presencial,,,,,,,,,,,True,<50K,False,,Perú,Lima,11,2025,25K-50K,25-30,2024,11
empleos_tech,2025-11-17 12:53:41.105338,JOB-100004,IA Factory,Data Analyst,???,México,TypeScript,Laravel,Senior,26740.0,Remoto,,,,,,,,,,,True,<50K,False,,México,???,11,2025,25K-50K,25-30,2024,11
empleos_tech,2025-11-17 12:53:41.105338,JOB-100005,RocketSoft,MLOps Engineer,Rosario,Argentina,Swift,.NET,Mid,17633.0,Híbrido,,,,,,,,,,,True,<50K,False,,Argentina,Rosario,11,2025,<25K,25-30,2024,11
empleos_tech,2025-11-17 12:53:41.105338,JOB-100006,NeoTech,Data Analyst,Córdoba,Argentina,TypeScript,Angular,Senior,28008.0,Presencial,,,,,,,,,,,True,<50K,False,,Argentina,Córdoba,11,2025,25K-50K,25-30,2024,11
empleos_tech,2025-11-17 12:53:41.105338,JOB-100007,IA Factory,Fullstack Developer,Bucaramanga,Colombia,JavaScript,FastAPI,Mid,11998.0,Presencial,,,,,,,,,,,True,<50K,False,,Colombia,Bucaramanga,11,2025,<25K,25-30,2024,11
empleos_tech,2025-11-17 12:53:41.105338,JOB-100008,RocketSoft,BI Developer,Seattle,USA,Kotlin,Flask,Junior,55996.0,Remoto,,,,,,,,,,,True,50K-75K,False,,Usa,Seattle,11,2025,50K-75K,25-30,2024,11
empleos_tech,2025-11-17 12:53:41.105338,JOB-100009,QuantumWare,MLOps Engineer,San Francisco,USA,PHP,Django,Mid,109.501,Remoto,,,,,,,,,,,True,<50K,False,,Usa,San Francisco,11,2025,<25K,25-30,2024,11
empleos_tech,2025-11-17 12:53:41.105338,JOB-100010,NeoTech,DevOps Engineer,Puebla,México,R,FastAPI,Junior,15697.0,Remoto,,,,,,,,,,,True,<50K,False,,México,Puebla,11,2025,<25K,25-30,2024,11
empleos_tech,2025-11-17 12:53:41.105338,JOB-100011,Vertex AI,MLOps Engineer,???,Colombia,R,React,Junior,8699.0,Remoto,,,,,,,,,,,True,<50K,False,,Colombia,???,11,2025,<25K,25-30,2024,11
empleos_tech,2025-11-17 12:53:41.105338,JOB-100012,IA Factory,Frontend Developer,Rosario,Argentina,Go,Django,Junior,15588.0,Remoto,,,,,,,,,,,True,<50K,False,,Argentina,Rosario,11,2025,<25K,25-30,2024,11
empleos_tech,2025-11-17 12:53:41.105338,JOB-100013,QuantumWare,DevOps Engineer,Rosario,Argentina,R,.NET,Junior,17.212,Remoto,,,,,,,,,,,True,<50K,False,,Argentina,Rosario,11,2025,<25K,25-30,2024,11
empleos_tech,2025-11-17 12:53:41.105338,JOB-100014,Lambda Solutions,BI Developer,Santiago,Chile,Python,Flask,Junior,19215.0,Presencial,,,,,,,,,,,True,<50K,False,,Chile,Santiago,11,2025,<25K,25-30,2024,11
empleos_tech,2025-11-17 12:53:41.105338,JOB-100015,QuantumWare,ML Engineer,Valparaíso,Chile,Scala,Angular,Mid,24089.0,Híbrido,,,,,,,,,,,True,<50K,False,,Chile,Valparaíso,11,2025,<25K,25-30,2024,11
empleos_tech,2025-11-17 12:53:41.105338,JOB-100016,CloudForge,ML Engineer,Seattle,USA,Java,Node.js,Senior,104007.0,Presencial,,,,,,,,,,,True,100K-150K,False,,Usa,Seattle,11,2025,100K+,25-30,2024,11
empleos_tech,2025-11-17 12:53:41.105338,JOB-100017,Vertex AI,ML Engineer,New York,USA,Swift,Django,Senior,,Presencial,,,,,,,,,,,False,,False,,Usa,New York,11,2025,<25K,25-30,2024,11
empleos_tech,2025-11-17 12:53:41.105338,JOB-100018,NeoTech,Cybersecurity Analyst,Barcelona,España,Swift,Vue,Mid,38.706,Remoto,,,,,,,,,,,True,<50K,False,,España,Barcelona,11,2025,<25K,25-30,2024,11
empleos_tech,2025-11-17 12:53:41.105338,JOB-100019,RocketSoft,Fullstack Developer,Cordoba,Argentina,Python,Django,Mid,20823.0,Híbrido,,,,,,,,,,,True,<50K,False,,Argentina,Cordoba,11,2025,<25K,25-30,2024,11
empleos_tech,2025-11-17 12:53:41.105338,JOB-100020,Vertex AI,Data Analyst,Buenos Aires,Argentina,C#,Flask,Junior,12336.0,Presencial,,,,,,,,,,,True,<50K,False,,Argentina,Buenos Aires,11,2025,<25K,25-30,2024,11
empleos_tech,2025-11-17 12:53:41.105338,JOB-100021,Vertex AI,MLOps Engineer,Rosario,Argentina,Java,Spark,Junior,19.961,Remoto,,,,,,,,,,,True,<50K,False,,Argentina,Rosario,11,2025,<25K,25-30,2024,11
empleos_tech,2025-11-17 12:53:41.105338,JOB-100022,QuantumWare,Cloud Architect,Guadalajara,México,R,Flask,Senior,25783.0,Remoto,,,,,,,,,,,True,<50K,False,,México,Guadalajara,11,2025,25K-50K,25-30,2024,11
empleos_tech,2025-11-17 12:53:41.105338,JOB-100023,DevOpsLab,BI Developer,San Francisco,USA,TypeScript,FastAPI,Senior,,Remoto,,,,,,,,,,,False,,False,,Usa,San Francisco,11,2025,<25K,25-30,2024,11
empleos_tech,2025-11-17 12:53:41.105338,JOB-100024,DevOpsLab,DevOps Engineer,San Francisco,USA,C#,React,Junior,99131.0,Presencial,,,,,,,,,,,True,75K-100K,False,,Usa,San Francisco,11,2025,75K-100K,25-30,2024,11
